ID1	ID2	Type
MMP14	COL4A2	co-expression
MMP14	COL5A1	co-expression
MMP14	COL5A2	co-expression
MMP14	COL6A1	co-expression
MMP14	COL6A2	co-expression
MMP14	COL6A3	co-expression
MMP14	FNDC1	co-expression
MMP14	GAS1	co-expression
MMP14	GFPT2	co-expression
MMP14	GGT5	co-expression
MMP14	GLI3	co-expression
MMP14	GLIS2	co-expression
MMP14	GPR176	co-expression
MMP14	GPR68	co-expression
MMP14	HHIPL1	co-expression
MMP14	LOXL2	co-expression
MMP14	MRC2	co-expression
MMP14	NID2	co-expression
MMP14	NTM	co-expression
MMP14	OLFML2B	co-expression
MMP14	P4HA3	co-expression
MMP14	PDGFRB	co-expression
MMP14	PXDN	co-expression
MMP14	SSC5D	co-expression
MMP14	THBS2	co-expression
MMP14	VSTM4	co-expression
MMP14	ZNF469	co-expression
MMP19	ADAMTS2	co-expression
MMP19	ADAMTS4	co-expression
MMP19	AEBP1	co-expression
MMP19	AFAP1L1	co-expression
MMP19	ANGPTL2	co-expression
MMP19	ANTXR1	co-expression
MMP19	ATP8B2	co-expression
MMP19	C1R	co-expression
MMP19	C1S	co-expression
MMP19	CCDC8	co-expression
MMP19	CCDC80	co-expression
MMP19	CD93	co-expression
MMP19	CERCAM	co-expression
MMP19	CMTM3	co-expression
MMP19	COL15A1	co-expression
MMP19	COL1A1	co-expression
MMP19	COL1A2	co-expression
MMP19	COL3A1	co-expression
MMP19	COL5A1	co-expression
MMP19	COL5A2	co-expression
MMP19	COL6A1	co-expression
MMP19	COL6A2	co-expression
MMP19	COL6A3	co-expression
MMP19	CTSK	co-expression
MMP19	DCN	co-expression
MMP19	EFS	co-expression
MMP19	EHD2	co-expression
MMP19	EMILIN1	co-expression
MMP19	EVC	co-expression
MMP19	FAM20C	co-expression
MMP19	FBN1	co-expression
MMP19	FBXL7	co-expression
MMP19	FNDC1	co-expression
MMP19	FSTL1	co-expression
MMP19	GAS1	co-expression
MMP19	GAS7	co-expression
MMP19	GFPT2	co-expression
MMP19	GGT5	co-expression
MMP19	GLI3	co-expression
MMP19	GPR176	co-expression
MMP19	GPR68	co-expression
MMP19	HTRA1	co-expression
