miRNA	Gene	Input
hsa-let-7g-5p	IGF2BP1	-1
hsa-let-7g-5p	LRIG3	-1
hsa-let-7g-5p	NAP1L1	-1
hsa-let-7g-5p	NR6A1	-1
hsa-let-7g-5p	PGRMC1	-1
hsa-let-7g-5p	PPP1R15B	-1
hsa-let-7g-5p	SLC10A7	-1
hsa-let-7g-5p	SMARCAD1	-1
hsa-let-7g-5p	STX3	-1
hsa-let-7g-5p	TRIM71	-1
hsa-let-7g-5p	YOD1	-1
hsa-let-7g-5p	ZBTB5	-1
hsa-let-7g-5p	ZNF644	-1
hsa-let-7i-5p	ARID3B	-1
hsa-let-7i-5p	BACH1	-1
hsa-let-7i-5p	CBX5	-1
hsa-let-7i-5p	COIL	-1
hsa-let-7i-5p	FIGN	-1
hsa-let-7i-5p	GATM	-1
hsa-let-7i-5p	GNG5	-1
hsa-let-7i-5p	HMGA2	-1
hsa-let-7i-5p	IGF1R	-1
hsa-let-7i-5p	IGF2BP1	-1
hsa-let-7i-5p	LRIG3	-1
hsa-let-7i-5p	NAP1L1	-1
hsa-let-7i-5p	NR6A1	-1
hsa-let-7i-5p	PGRMC1	-1
hsa-let-7i-5p	PPP1R15B	-1
hsa-let-7i-5p	SLC10A7	-1
hsa-let-7i-5p	SMARCAD1	-1
hsa-let-7i-5p	STX3	-1
hsa-let-7i-5p	TRIM71	-1
hsa-let-7i-5p	YOD1	-1
hsa-let-7i-5p	ZBTB5	-1
hsa-let-7i-5p	ZNF644	-1
hsa-miR-101-3p	ABHD17C	-1
hsa-miR-101-3p	ACVR2B	-1
hsa-miR-101-3p	AEBP2	-1
hsa-miR-101-3p	ANKRD11	-1
hsa-miR-101-3p	APP	-1
hsa-miR-101-3p	ARID1A	-1
hsa-miR-101-3p	ATXN1	-1
hsa-miR-101-3p	BCL9	-1
hsa-miR-101-3p	CBFA2T2	-1
hsa-miR-101-3p	CDK8	-1
hsa-miR-101-3p	CERS2	-1
hsa-miR-101-3p	DCBLD2	-1
hsa-miR-101-3p	EYA1	-1
hsa-miR-101-3p	EZH2	-1
hsa-miR-101-3p	FBN2	-1
hsa-miR-101-3p	FZD6	-1
hsa-miR-101-3p	HSPE1-MOB4	-1
hsa-miR-101-3p	INO80D	-1
hsa-miR-101-3p	LCOR	-1
hsa-miR-101-3p	LRCH2	-1
hsa-miR-101-3p	MAP3K4	-1
hsa-miR-101-3p	MBNL1	-1
hsa-miR-101-3p	MFSD6	-1
hsa-miR-101-3p	MOB4	-1
hsa-miR-101-3p	MORC3	-1
hsa-miR-101-3p	MPPE1	-1
hsa-miR-101-3p	MYCN	-1
hsa-miR-101-3p	NEK7	-1
hsa-miR-101-3p	PIP5K1C	-1
hsa-miR-101-3p	PURB	-1
hsa-miR-101-3p	RAB5A	-1
hsa-miR-101-3p	RAC1	-1
hsa-miR-101-3p	RAP1B	-1
hsa-miR-101-3p	RAP2C	-1
hsa-miR-101-3p	RORA	-1
hsa-miR-101-3p	SACM1L	-1
hsa-miR-101-3p	SIX4	-1
hsa-miR-101-3p	TET2	-1
hsa-miR-101-3p	TGFBR1	-1
hsa-miR-101-3p	TNPO1	-1
hsa-miR-101-3p	ZCCHC2	-1
hsa-miR-101-3p	ZEB1	-1
hsa-miR-101-3p	ZFP36L2	-1
hsa-miR-101-3p	ZNF827	-1
hsa-miR-103a-3p	ACVR2B	-1
hsa-miR-103a-3p	AGFG1	-1
hsa-miR-103a-3p	AMOT	-1
hsa-miR-103a-3p	ATP13A3	-1
hsa-miR-103a-3p	AXIN2	-1
hsa-miR-103a-3p	CLIP1	-1
hsa-miR-103a-3p	CPEB3	-1
hsa-miR-103a-3p	DICER1	-1
hsa-miR-103a-3p	ELK4	-1
hsa-miR-103a-3p	FBXW7	-1
hsa-miR-103a-3p	JAKMIP2	-1
hsa-miR-103a-3p	KIF23	-1
hsa-miR-103a-3p	MEF2D	-1
hsa-miR-103a-3p	N4BP1	-1
hsa-miR-103a-3p	NUP50	-1
hsa-miR-103a-3p	PLEKHA1	-1
hsa-miR-103a-3p	RIMS3	-1
hsa-miR-103a-3p	TNRC6B	-1
hsa-miR-103a-3p	TWF1	-1
hsa-miR-103a-3p	USP42	-1
hsa-miR-103a-3p	ZBTB10	-1
hsa-miR-105-5p	TJP1	-1
hsa-miR-106a-5p	ANKRD33B	-1
hsa-miR-106a-5p	ANKRD52	-1
hsa-miR-106a-5p	ARHGAP12	-1
hsa-miR-106a-5p	ARID4B	-1
hsa-miR-106a-5p	ATAD2	-1
hsa-miR-106a-5p	BNIP2	-1
hsa-miR-106a-5p	CCND1	-1
hsa-miR-106a-5p	CFL2	-1
hsa-miR-106a-5p	CNOT4	-1
hsa-miR-106a-5p	DYNC1LI2	-1
hsa-miR-106a-5p	E2F1	-1
hsa-miR-106a-5p	EFCAB14	-1
hsa-miR-106a-5p	ELK4	-1
hsa-miR-106a-5p	EMSY	-1
hsa-miR-106a-5p	ENPP5	-1
hsa-miR-106a-5p	EPHA4	-1
hsa-miR-106a-5p	FAM126B	-1
hsa-miR-106a-5p	FBXL5	-1
hsa-miR-106a-5p	FCHO2	-1
hsa-miR-106a-5p	FJX1	-1
hsa-miR-106a-5p	FOXJ3	-1
hsa-miR-106a-5p	FRS2	-1
hsa-miR-106a-5p	HSPA8	-1
hsa-miR-106a-5p	KCNB1	-1
hsa-miR-106a-5p	KIAA0513	-1
hsa-miR-106a-5p	KLHL28	-1
hsa-miR-106a-5p	KMT2B	-1
hsa-miR-106a-5p	LAPTM4A	-1
hsa-miR-106a-5p	MAP3K2	-1
hsa-miR-106a-5p	MFSD8	-1
hsa-miR-106a-5p	NABP1	-1
hsa-miR-106a-5p	NFAT5	-1
hsa-miR-106a-5p	NPAT	-1
hsa-miR-106a-5p	NR2C2	-1
hsa-miR-106a-5p	PTPN4	-1
hsa-miR-106a-5p	RAB22A	-1
hsa-miR-106a-5p	RBL2	-1
hsa-miR-106a-5p	REEP3	-1
hsa-miR-106a-5p	REST	-1
hsa-miR-106a-5p	RPS6KA5	-1
hsa-miR-106a-5p	RRAGD	-1
hsa-miR-106a-5p	RUFY2	-1
hsa-miR-106a-5p	SALL3	-1
hsa-miR-106a-5p	SAMD12	-1
hsa-miR-106a-5p	SEMA7A	-1
hsa-miR-106a-5p	SPRED1	-1
hsa-miR-106a-5p	TBC1D9	-1
hsa-miR-106a-5p	TGFBR2	-1
hsa-miR-106a-5p	TNFRSF21	-1
hsa-miR-106a-5p	TRIP10	-1
hsa-miR-106a-5p	TXNIP	-1
hsa-miR-106a-5p	U2SURP	-1
hsa-miR-106a-5p	ZBTB4	-1
hsa-miR-106a-5p	ZBTB7A	-1
hsa-miR-106a-5p	ZC3H12C	-1
hsa-miR-106a-5p	ZFYVE26	-1
hsa-miR-106a-5p	ZFYVE9	-1
hsa-miR-106a-5p	ZNF652	-1
hsa-miR-106a-5p	ZNFX1	-1
hsa-miR-106b-5p	AAK1	-1
hsa-miR-106b-5p	AKTIP	-1
hsa-miR-106b-5p	ANKIB1	-1
hsa-miR-106b-5p	ANKRD33B	-1
hsa-miR-106b-5p	ANKRD52	-1
hsa-miR-106b-5p	ARHGAP12	-1
hsa-miR-106b-5p	ARID4B	-1
hsa-miR-106b-5p	ATAD2	-1
hsa-miR-106b-5p	ATG16L1	-1
hsa-miR-106b-5p	BNIP2	-1
hsa-miR-106b-5p	BRMS1L	-1
hsa-miR-106b-5p	CAMTA1	-1
hsa-miR-106b-5p	CCND1	-1
hsa-miR-106b-5p	CEP97	-1
hsa-miR-106b-5p	CFL2	-1
hsa-miR-106b-5p	CLOCK	-1
hsa-miR-106b-5p	CMTR2	-1
hsa-miR-106b-5p	CNOT4	-1
hsa-miR-106b-5p	DYNC1LI2	-1
hsa-miR-106b-5p	E2F1	-1
hsa-miR-106b-5p	E2F5	-1
hsa-miR-106b-5p	EFCAB14	-1
hsa-miR-106b-5p	EGLN3	-1
hsa-miR-106b-5p	EIF5A2	-1
hsa-miR-106b-5p	ELK4	-1
hsa-miR-106b-5p	EMSY	-1
hsa-miR-106b-5p	ENPP5	-1
hsa-miR-106b-5p	EPHA4	-1
hsa-miR-106b-5p	EZH1	-1
hsa-miR-106b-5p	F3	-1
hsa-miR-106b-5p	FAM117B	-1
hsa-miR-106b-5p	FAM126B	-1
hsa-miR-106b-5p	FBXL5	-1
hsa-miR-106b-5p	FCHO2	-1
hsa-miR-106b-5p	FJX1	-1
hsa-miR-106b-5p	FOXJ3	-1
hsa-miR-106b-5p	FRMD6	-1
hsa-miR-106b-5p	FRS2	-1
hsa-miR-106b-5p	FYCO1	-1
hsa-miR-106b-5p	HSPA8	-1
hsa-miR-106b-5p	JPT1	-1
hsa-miR-106b-5p	KCNB1	-1
hsa-miR-106b-5p	KIAA0513	-1
hsa-miR-106b-5p	KLHL28	-1
hsa-miR-106b-5p	KMT2B	-1
hsa-miR-106b-5p	LAPTM4A	-1
hsa-miR-106b-5p	LPGAT1	-1
hsa-miR-106b-5p	MAP3K14	-1
hsa-miR-106b-5p	MAP3K2	-1
hsa-miR-106b-5p	MFSD8	-1
hsa-miR-106b-5p	MKRN1	-1
hsa-miR-106b-5p	NABP1	-1
hsa-miR-106b-5p	NAGK	-1
hsa-miR-106b-5p	NCOA3	-1
hsa-miR-106b-5p	NFAT5	-1
hsa-miR-106b-5p	NPAT	-1
hsa-miR-106b-5p	NR2C2	-1
hsa-miR-106b-5p	PGM2L1	-1
hsa-miR-106b-5p	PKD2	-1
hsa-miR-106b-5p	PPP6C	-1
hsa-miR-106b-5p	PRRG1	-1
hsa-miR-106b-5p	PTPN4	-1
hsa-miR-106b-5p	PURB	-1
hsa-miR-106b-5p	RAB22A	-1
hsa-miR-106b-5p	RBL2	-1
hsa-miR-106b-5p	REEP3	-1
hsa-miR-106b-5p	REST	-1
hsa-miR-106b-5p	RPS6KA5	-1
hsa-miR-106b-5p	RRAGD	-1
hsa-miR-106b-5p	RUFY2	-1
hsa-miR-106b-5p	SACS	-1
hsa-miR-106b-5p	SALL3	-1
hsa-miR-106b-5p	SAMD12	-1
hsa-miR-106b-5p	SEMA7A	-1
hsa-miR-106b-5p	SPRED1	-1
hsa-miR-106b-5p	STK17B	-1
hsa-miR-106b-5p	TBC1D9	-1
hsa-miR-106b-5p	TET3	-1
hsa-miR-106b-5p	TGFBR2	-1
hsa-miR-106b-5p	TNFRSF21	-1
hsa-miR-106b-5p	TRIP10	-1
hsa-miR-106b-5p	TXNIP	-1
hsa-miR-106b-5p	U2SURP	-1
hsa-miR-106b-5p	UBXN2A	-1
hsa-miR-106b-5p	USP3	-1
hsa-miR-106b-5p	USP46	-1
hsa-miR-106b-5p	ZBTB4	-1
hsa-miR-106b-5p	ZBTB7A	-1
hsa-miR-106b-5p	ZC3H12C	-1
hsa-miR-106b-5p	ZFYVE26	-1
hsa-miR-106b-5p	ZFYVE9	-1
hsa-miR-106b-5p	ZNF652	-1
hsa-miR-106b-5p	ZNF800	-1
hsa-miR-106b-5p	ZNFX1	-1
hsa-miR-107	ACVR2B	-1
hsa-miR-107	AMOT	-1
hsa-miR-107	ATP13A3	-1
hsa-miR-107	AXIN2	-1
hsa-miR-107	CLIP1	-1
hsa-miR-107	CLOCK	-1
hsa-miR-107	CPEB3	-1
hsa-miR-107	DICER1	-1
hsa-miR-107	ELK4	-1
hsa-miR-107	FBXW7	-1
hsa-miR-107	FOXP1	-1
hsa-miR-107	KIF23	-1
hsa-miR-107	N4BP1	-1
hsa-miR-107	NF1	-1
hsa-miR-107	NUP50	-1
hsa-miR-107	PLEKHA1	-1
hsa-miR-107	RIMS3	-1
hsa-miR-107	TNRC6B	-1
hsa-miR-107	TRIAP1	-1
hsa-miR-107	TWF1	-1
hsa-miR-107	USP42	-1
hsa-miR-107	ZBTB10	-1
hsa-miR-10a-5p	CNOT6	-1
hsa-miR-10a-5p	CRLF3	-1
hsa-miR-10a-5p	E2F7	-1
hsa-miR-10a-5p	ELOVL2	-1
hsa-miR-10a-5p	GALNT1	-1
hsa-miR-10a-5p	RORA	-1
hsa-miR-10a-5p	TFAP2C	-1
hsa-miR-10b-5p	CNOT6	-1
hsa-miR-10b-5p	CRLF3	-1
hsa-miR-10b-5p	E2F7	-1
hsa-miR-10b-5p	RORA	-1
hsa-miR-10b-5p	TFAP2C	-1
hsa-miR-1179	PPP1R12A	-1
hsa-miR-1184	DICER1	-1
hsa-miR-1184	FAM98A	-1
hsa-miR-1184	POLDIP2	-1
hsa-miR-1184	SBNO1	-1
hsa-miR-1185-1-3p	HOXA9	-1
hsa-miR-1185-1-3p	MOB4	-1
hsa-miR-1185-1-3p	RBM12B	-1
hsa-miR-1185-1-3p	RORA	-1
hsa-miR-1185-1-3p	SET	-1
hsa-miR-1185-1-3p	ZFX	-1
hsa-miR-1185-2-3p	HOXA9	-1
hsa-miR-1185-2-3p	MOB4	-1
hsa-miR-1185-2-3p	RBM12B	-1
hsa-miR-1185-2-3p	RORA	-1
hsa-miR-1185-2-3p	SET	-1
hsa-miR-1185-2-3p	ZFX	-1
hsa-miR-1199-5p	FBRS	-1
hsa-miR-1200	ABRACL	-1
hsa-miR-1200	ARPP19	-1
hsa-miR-1200	CHIC1	-1
hsa-miR-1200	HOMER1	-1
hsa-miR-1200	PIP4P2	-1
hsa-miR-1205	TOR2A	-1
hsa-miR-1207-5p	CBX5	-1
hsa-miR-1207-5p	CBX6	-1
hsa-miR-1207-5p	JADE2	-1
hsa-miR-1207-5p	LHPP	-1
hsa-miR-1224-3p	ATF6B	-1
hsa-miR-1224-3p	TFDP2	-1
hsa-miR-122-5p	ANKRD13C	-1
hsa-miR-122-5p	GYS1	-1
hsa-miR-1228-3p	ZNF554	-1
hsa-miR-1229-3p	EIF4G2	-1
hsa-miR-1229-3p	SETD7	-1
hsa-miR-1229-3p	ZNF780A	-1
hsa-miR-1229-3p	ZNF781	-1
hsa-miR-1236-3p	C1orf115	-1
hsa-miR-1237-3p	MMP2	-1
hsa-miR-124-3p	ACAA2	-1
hsa-miR-124-3p	AMOTL1	-1
hsa-miR-124-3p	B4GALT1	-1
hsa-miR-124-3p	BMP6	-1
hsa-miR-124-3p	CBX2	-1
hsa-miR-124-3p	CD164	-1
hsa-miR-124-3p	CHST14	-1
hsa-miR-124-3p	CHSY1	-1
hsa-miR-124-3p	CPT1A	-1
hsa-miR-124-3p	CREB3L2	-1
hsa-miR-124-3p	CREBRF	-1
hsa-miR-124-3p	CRTC3	-1
hsa-miR-124-3p	CTDSP1	-1
hsa-miR-124-3p	CTNND1	-1
hsa-miR-124-3p	DENND6A	-1
hsa-miR-124-3p	ECI2	-1
hsa-miR-124-3p	EIF3B	-1
hsa-miR-124-3p	EYA4	-1
hsa-miR-124-3p	FAM177A1	-1
hsa-miR-124-3p	FLOT2	-1
hsa-miR-124-3p	FPGS	-1
hsa-miR-124-3p	FRMD8	-1
hsa-miR-124-3p	GGA2	-1
hsa-miR-124-3p	GXYLT1	-1
hsa-miR-124-3p	HTATIP2	-1
hsa-miR-124-3p	ITGB1	-1
hsa-miR-124-3p	KATNA1	-1
hsa-miR-124-3p	KLHL28	-1
hsa-miR-124-3p	LAMC1	-1
hsa-miR-124-3p	LPP	-1
hsa-miR-124-3p	LRRC1	-1
hsa-miR-124-3p	LRRC58	-1
hsa-miR-124-3p	MAGT1	-1
