Protein	Protein	Input
ZNF587	KRTAP10-9	1
ZNF599	KRTAP10-9	1
ZNF696	KRTAP10-9	1
ZNF699	KRTAP10-9	1
ZNF764	KRTAP10-9	1
ZNF774	KRTAP10-9	1
ZNF777	KRTAP10-9	1
ZNF792	KRTAP10-9	1
ZNF80	KRTAP10-9	1
ZNF837	KRTAP10-9	1
ZNF860	KRTAP10-9	1
ZSCAN21	KRTAP10-9	1
ZSCAN26	KRTAP10-9	1
ADAM12	KRTAP1-1	1
ADAMTSL3	KRTAP1-1	1
ADAMTSL4	KRTAP1-1	1
AGXT	KRTAP1-1	1
AKR7A3	KRTAP1-1	1
ALDH3B1	KRTAP1-1	1
ALPP	KRTAP1-1	1
ASPSCR1	KRTAP1-1	1
BCAM	KRTAP1-1	1
C11orf87	KRTAP1-1	1
C19orf66	KRTAP1-1	1
CAMK2B	KRTAP1-1	1
CATIP	KRTAP1-1	1
CATSPER1	KRTAP1-1	1
CD300LG	KRTAP1-1	1
CERK	KRTAP1-1	1
CHIC2	KRTAP1-1	1
CHRD	KRTAP1-1	1
CLDN2	KRTAP1-1	1
CNNM3	KRTAP1-1	1
CRY2	KRTAP1-1	1
CSF1	KRTAP1-1	1
CST2	KRTAP1-1	1
CTRC	KRTAP1-1	1
CTSZ	KRTAP1-1	1
CYHR1	KRTAP1-1	1
CYSLTR2	KRTAP1-1	1
DHRS1	KRTAP1-1	1
DMRT3	KRTAP1-1	1
DOCK2	KRTAP1-1	1
EFNA3	KRTAP1-1	1
EMC7	KRTAP1-1	1
FAM71C	KRTAP1-1	1
FAM76B	KRTAP1-1	1
FAM90A1	KRTAP1-1	1
FARS2	KRTAP1-1	1
FEZF1	KRTAP1-1	1
FKBP1B	KRTAP1-1	1
FOXD4L3	KRTAP1-1	1
FRS3	KRTAP1-1	1
FZD10	KRTAP1-1	1
GLP1R	KRTAP1-1	1
GNE	KRTAP1-1	1
GRN	KRTAP1-1	1
GSTP1	KRTAP1-1	1
GUCD1	KRTAP1-1	1
HCK	KRTAP1-1	1
HEY2	KRTAP1-1	1
HOXA1	KRTAP1-1	1
HOXB5	KRTAP1-1	1
HOXB9	KRTAP1-1	1
HOXC8	KRTAP1-1	1
HPCAL1	KRTAP1-1	1
HYAL2	KRTAP1-1	1
IFITM2	KRTAP1-1	1
IGSF8	KRTAP1-1	1
IL16	KRTAP1-1	1
ITGB4	KRTAP1-1	1
ITGB5	KRTAP1-1	1
JOSD1	KRTAP1-1	1
KLHL38	KRTAP1-1	1
KLK8	KRTAP1-1	1
KRT20	KRTAP1-1	1
KRTAP10-8	KRTAP1-1	1
KRTAP12-1	KRTAP1-1	1
KRTAP13-2	KRTAP1-1	1
KRTAP9-8	KRTAP1-1	1
LCE1A	KRTAP1-1	1
LCE1E	KRTAP1-1	1
LCE2B	KRTAP1-1	1
LCE2C	KRTAP1-1	1
LCE2D	KRTAP1-1	1
LCE3B	KRTAP1-1	1
LCE3D	KRTAP1-1	1
LCE3E	KRTAP1-1	1
LCE4A	KRTAP1-1	1
LCE5A	KRTAP1-1	1
LNX1	KRTAP1-1	1
LRFN4	KRTAP1-1	1
LRRN4	KRTAP1-1	1
MAGOHB	KRTAP1-1	1
MAPKBP1	KRTAP1-1	1
MELTF	KRTAP1-1	1
MGAT5B	KRTAP1-1	1
MRGBP	KRTAP1-1	1
MT1B	KRTAP1-1	1
MXI1	KRTAP1-1	1
MYOM1	KRTAP1-1	1
NECTIN2	KRTAP1-1	1
NECTIN3	KRTAP1-1	1
NMU	KRTAP1-1	1
NPDC1	KRTAP1-1	1
NR1D2	KRTAP1-1	1
NTM	KRTAP1-1	1
NUBP2	KRTAP1-1	1
OLIG3	KRTAP1-1	1
OTX1	KRTAP1-1	1
P2RX4	KRTAP1-1	1
P2RY6	KRTAP1-1	1
PCSK5	KRTAP1-1	1
PDE9A	KRTAP1-1	1
PHLDA1	KRTAP1-1	1
PRKAB2	KRTAP1-1	1
PRKAG1	KRTAP1-1	1
PRPF31	KRTAP1-1	1
PSMA1	KRTAP1-1	1
PVR	KRTAP1-1	1
QPRT	KRTAP1-1	1
R3HDM2	KRTAP1-1	1
REM2	KRTAP1-1	1
RNF111	KRTAP1-1	1
RPS19BP1	KRTAP1-1	1
RPUSD3	KRTAP1-1	1
RTN4RL1	KRTAP1-1	1
SCARF1	KRTAP1-1	1
SCNM1	KRTAP1-1	1
SDC3	KRTAP1-1	1
SEMA3B	KRTAP1-1	1
SLC23A1	KRTAP1-1	1
SLC43A2	KRTAP1-1	1
SLC6A20	KRTAP1-1	1
SLC7A11	KRTAP1-1	1
SLIT1	KRTAP1-1	1
SMARCE1	KRTAP1-1	1
SMCP	KRTAP1-1	1
SNAI1	KRTAP1-1	1
SNX18	KRTAP1-1	1
SPACA9	KRTAP1-1	1
SPRY1	KRTAP1-1	1
STK16	KRTAP1-1	1
TCEANC	KRTAP1-1	1
TFAP2D	KRTAP1-1	1
TGFB1	KRTAP1-1	1
TMEM8A	KRTAP1-1	1
TNP2	KRTAP1-1	1
TSFM	KRTAP1-1	1
VASN	KRTAP1-1	1
VSTM4	KRTAP1-1	1
WNT11	KRTAP1-1	1
ZDHHC1	KRTAP1-1	1
ZNF330	KRTAP1-1	1
ZNF408	KRTAP1-1	1
ZNF439	KRTAP1-1	1
ZNF440	KRTAP1-1	1
ZNF446	KRTAP1-1	1
ZNF491	KRTAP1-1	1
ZNF497	KRTAP1-1	1
ZNF524	KRTAP1-1	1
ZNF581	KRTAP1-1	1
ZNF648	KRTAP1-1	1
ZNF669	KRTAP1-1	1
ZNF696	KRTAP1-1	1
ZNF837	KRTAP1-1	1
AES	KRTAP11-1	1
AGR3	KRTAP11-1	1
ANAPC11	KRTAP11-1	1
ANKS1A	KRTAP11-1	1
BEX2	KRTAP11-1	1
CERK	KRTAP11-1	1
CFP	KRTAP11-1	1
CHERP	KRTAP11-1	1
CRYBA1	KRTAP11-1	1
CRYBA2	KRTAP11-1	1
DHRS1	KRTAP11-1	1
DTX2	KRTAP11-1	1
EFEMP2	KRTAP11-1	1
ENKD1	KRTAP11-1	1
ETFDH	KRTAP11-1	1
FAM222B	KRTAP11-1	1
FAM46D	KRTAP11-1	1
FANCL	KRTAP11-1	1
FASLG	KRTAP11-1	1
FBLN1	KRTAP11-1	1
FNDC3B	KRTAP11-1	1
FOXH1	KRTAP11-1	1
FRS3	KRTAP11-1	1
GATA2	KRTAP11-1	1
GNE	KRTAP11-1	1
GPS2	KRTAP11-1	1
GRN	KRTAP11-1	1
HEY2	KRTAP11-1	1
HOXA1	KRTAP11-1	1
HOXC8	KRTAP11-1	1
HR	KRTAP11-1	1
KLHL38	KRTAP11-1	1
KRT83	KRTAP11-1	1
KRTAP11-1	KRTAP11-1	1
LGALS4	KRTAP11-1	1
LMO4	KRTAP11-1	1
MEIS2	KRTAP11-1	1
NBL1	KRTAP11-1	1
NUFIP2	KRTAP11-1	1
OIT3	KRTAP11-1	1
OLIG3	KRTAP11-1	1
OTX1	KRTAP11-1	1
PCSK5	KRTAP11-1	1
PLA2G10	KRTAP11-1	1
RBPMS	KRTAP11-1	1
RBPMS2	KRTAP11-1	1
RNF38	KRTAP11-1	1
SLC13A5	KRTAP11-1	1
SNRPC	KRTAP11-1	1
SPAG8	KRTAP11-1	1
SPRY1	KRTAP11-1	1
STK16	KRTAP11-1	1
TBX6	KRTAP11-1	1
TEKT4	KRTAP11-1	1
TFAP2D	KRTAP11-1	1
TLX3	KRTAP11-1	1
TNS2	KRTAP11-1	1
VASN	KRTAP11-1	1
VENTX	KRTAP11-1	1
VWC2L	KRTAP11-1	1
YIPF3	KRTAP11-1	1
ZIC1	KRTAP11-1	1
CATSPER1	KRTAP12-1	1
CHRD	KRTAP12-1	1
DHRS1	KRTAP12-1	1
ENKD1	KRTAP12-1	1
FHL3	KRTAP12-1	1
GATA3	KRTAP12-1	1
GRN	KRTAP12-1	1
HOXA1	KRTAP12-1	1
HOXC8	KRTAP12-1	1
KRTAP11-1	KRTAP12-1	1
KRTAP15-1	KRTAP12-1	1
KRTAP4-4	KRTAP12-1	1
KRTAP6-1	KRTAP12-1	1
KRTAP6-2	KRTAP12-1	1
LCE1A	KRTAP12-1	1
LCE1E	KRTAP12-1	1
LCE2A	KRTAP12-1	1
LCE2B	KRTAP12-1	1
MEOX2	KRTAP12-1	1
MGAT5B	KRTAP12-1	1
OTX1	KRTAP12-1	1
PDIA2	KRTAP12-1	1
PDIA4	KRTAP12-1	1
PEF1	KRTAP12-1	1
POU2AF1	KRTAP12-1	1
POU4F2	KRTAP12-1	1
PRR35	KRTAP12-1	1
RBPMS	KRTAP12-1	1
SMCP	KRTAP12-1	1
TRIP13	KRTAP12-1	1
ZIC1	KRTAP12-1	1
ADAM12	KRTAP12-2	1
AES	KRTAP12-2	1
ARID5A	KRTAP12-2	1
ATN1	KRTAP12-2	1
ATP6V1C2	KRTAP12-2	1
AVPI1	KRTAP12-2	1
BCL6B	KRTAP12-2	1
BEX2	KRTAP12-2	1
CATSPER1	KRTAP12-2	1
CBLL2	KRTAP12-2	1
CBX2	KRTAP12-2	1
CCNL1	KRTAP12-2	1
CFP	KRTAP12-2	1
CHRD	KRTAP12-2	1
CNNM3	KRTAP12-2	1
CYSRT1	KRTAP12-2	1
DGCR6	KRTAP12-2	1
DHRS1	KRTAP12-2	1
EFEMP2	KRTAP12-2	1
ETNK2	KRTAP12-2	1
FHL3	KRTAP12-2	1
FOXD4	KRTAP12-2	1
FOXD4L1	KRTAP12-2	1
FOXD4L3	KRTAP12-2	1
GDF15	KRTAP12-2	1
GPANK1	KRTAP12-2	1
GPRIN2	KRTAP12-2	1
GREM1	KRTAP12-2	1
HOXA1	KRTAP12-2	1
HOXB9	KRTAP12-2	1
HSFX1	KRTAP12-2	1
INO80B	KRTAP12-2	1
IQUB	KRTAP12-2	1
KRT34	KRTAP12-2	1
KRTAP10-8	KRTAP12-2	1
KRTAP12-1	KRTAP12-2	1
KRTAP12-2	KRTAP12-2	1
KRTAP12-4	KRTAP12-2	1
KRTAP13-2	KRTAP12-2	1
KRTAP15-1	KRTAP12-2	1
KRTAP19-2	KRTAP12-2	1
KRTAP21-2	KRTAP12-2	1
KRTAP26-1	KRTAP12-2	1
KRTAP3-2	KRTAP12-2	1
KRTAP6-2	KRTAP12-2	1
KRTAP6-3	KRTAP12-2	1
KRTAP9-3	KRTAP12-2	1
KRTAP9-8	KRTAP12-2	1
LCE1A	KRTAP12-2	1
LCE1C	KRTAP12-2	1
LCE2A	KRTAP12-2	1
LCE2B	KRTAP12-2	1
LCE4A	KRTAP12-2	1
MEOX2	KRTAP12-2	1
MGAT5B	KRTAP12-2	1
MYOZ1	KRTAP12-2	1
MYPOP	KRTAP12-2	1
NECTIN2	KRTAP12-2	1
NPDC1	KRTAP12-2	1
NR1D2	KRTAP12-2	1
ODF1	KRTAP12-2	1
OTX1	KRTAP12-2	1
PACSIN3	KRTAP12-2	1
PATZ1	KRTAP12-2	1
PCSK5	KRTAP12-2	1
PDE9A	KRTAP12-2	1
PELO	KRTAP12-2	1
PHLDA1	KRTAP12-2	1
PIH1D2	KRTAP12-2	1
PLAC8	KRTAP12-2	1
POLR1C	KRTAP12-2	1
POU4F2	KRTAP12-2	1
RAD23A	KRTAP12-2	1
RBM39	KRTAP12-2	1
RBPMS	KRTAP12-2	1
RBX1	KRTAP12-2	1
RHOXF2	KRTAP12-2	1
SEMA3B	KRTAP12-2	1
SERF2	KRTAP12-2	1
SLC12A4	KRTAP12-2	1
SLC13A5	KRTAP12-2	1
SLC15A2	KRTAP12-2	1
SLC15A3	KRTAP12-2	1
SPATA3	KRTAP12-2	1
SPRED2	KRTAP12-2	1
SPRY1	KRTAP12-2	1
TCEA2	KRTAP12-2	1
TEX37	KRTAP12-2	1
TINAGL1	KRTAP12-2	1
TMEM179B	KRTAP12-2	1
TNS2	KRTAP12-2	1
TRIM42	KRTAP12-2	1
TRIP13	KRTAP12-2	1
TSGA10IP	KRTAP12-2	1
TTPA	KRTAP12-2	1
VASN	KRTAP12-2	1
VENTX	KRTAP12-2	1
VGLL3	KRTAP12-2	1
YIPF3	KRTAP12-2	1
YY1	KRTAP12-2	1
ZBTB9	KRTAP12-2	1
ZDHHC1	KRTAP12-2	1
ZNF100	KRTAP12-2	1
ZNF408	KRTAP12-2	1
ZNF497	KRTAP12-2	1
ZNF581	KRTAP12-2	1
ZNF587	KRTAP12-2	1
ZNF624	KRTAP12-2	1
ZNF696	KRTAP12-2	1
ZNF764	KRTAP12-2	1
ZNF785	KRTAP12-2	1
ZNHIT1	KRTAP12-2	1
ADAMTSL3	KRTAP12-3	1
ADAMTSL4	KRTAP12-3	1
AGXT	KRTAP12-3	1
ALDH3B1	KRTAP12-3	1
BCL6B	KRTAP12-3	1
BMP7	KRTAP12-3	1
C11orf87	KRTAP12-3	1
C19orf66	KRTAP12-3	1
CARD10	KRTAP12-3	1
CATSPER1	KRTAP12-3	1
CBX2	KRTAP12-3	1
CELF5	KRTAP12-3	1
CHIC2	KRTAP12-3	1
CHRD	KRTAP12-3	1
CHRNG	KRTAP12-3	1
CNNM3	KRTAP12-3	1
COL8A1	KRTAP12-3	1
CRCT1	KRTAP12-3	1
CREB5	KRTAP12-3	1
CYSRT1	KRTAP12-3	1
DALRD3	KRTAP12-3	1
DHRS1	KRTAP12-3	1
DHX57	KRTAP12-3	1
DNAL4	KRTAP12-3	1
DOCK2	KRTAP12-3	1
FASLG	KRTAP12-3	1
FBXW5	KRTAP12-3	1
GLRX3	KRTAP12-3	1
GNE	KRTAP12-3	1
GTF3C5	KRTAP12-3	1
HOXA1	KRTAP12-3	1
ITGB4	KRTAP12-3	1
JOSD1	KRTAP12-3	1
KPRP	KRTAP12-3	1
KRT20	KRTAP12-3	1
KRTAP10-8	KRTAP12-3	1
KRTAP1-1	KRTAP12-3	1
KRTAP11-1	KRTAP12-3	1
KRTAP12-1	KRTAP12-3	1
KRTAP12-3	KRTAP12-3	1
KRTAP13-1	KRTAP12-3	1
KRTAP13-2	KRTAP12-3	1
KRTAP4-4	KRTAP12-3	1
KRTAP6-1	KRTAP12-3	1
KRTAP6-2	KRTAP12-3	1
LCE1A	KRTAP12-3	1
LCE1B	KRTAP12-3	1
LCE1C	KRTAP12-3	1
LCE1E	KRTAP12-3	1
LCE2A	KRTAP12-3	1
LCE2B	KRTAP12-3	1
LCE2C	KRTAP12-3	1
LCE2D	KRTAP12-3	1
LCE3A	KRTAP12-3	1
LCE3D	KRTAP12-3	1
LCE3E	KRTAP12-3	1
LCE4A	KRTAP12-3	1
LCE5A	KRTAP12-3	1
LIF	KRTAP12-3	1
LMNTD2	KRTAP12-3	1
LNX1	KRTAP12-3	1
LYVE1	KRTAP12-3	1
MAPKBP1	KRTAP12-3	1
MEOX2	KRTAP12-3	1
MISP	KRTAP12-3	1
MOBP	KRTAP12-3	1
NKD1	KRTAP12-3	1
NMU	KRTAP12-3	1
NPDC1	KRTAP12-3	1
NR1D2	KRTAP12-3	1
NR4A3	KRTAP12-3	1
NUFIP2	KRTAP12-3	1
OTX1	KRTAP12-3	1
OXER1	KRTAP12-3	1
P2RX4	KRTAP12-3	1
P2RY6	KRTAP12-3	1
P3H3	KRTAP12-3	1
P4HB	KRTAP12-3	1
PDE9A	KRTAP12-3	1
PDGFRB	KRTAP12-3	1
PHLDA1	KRTAP12-3	1
POU4F2	KRTAP12-3	1
PTGDS	KRTAP12-3	1
PTPMT1	KRTAP12-3	1
R3HDM2	KRTAP12-3	1
RSPO2	KRTAP12-3	1
SELENOM	KRTAP12-3	1
SLC13A5	KRTAP12-3	1
SLC15A2	KRTAP12-3	1
SLC23A1	KRTAP12-3	1
SPATA3	KRTAP12-3	1
SPRY1	KRTAP12-3	1
TCEA2	KRTAP12-3	1
TCEANC	KRTAP12-3	1
TFAP2D	KRTAP12-3	1
TMEM8A	KRTAP12-3	1
TMIE	KRTAP12-3	1
TNP2	KRTAP12-3	1
TNS2	KRTAP12-3	1
TTPA	KRTAP12-3	1
UTP23	KRTAP12-3	1
UXT	KRTAP12-3	1
VASN	KRTAP12-3	1
VSTM4	KRTAP12-3	1
WDR25	KRTAP12-3	1
WNT11	KRTAP12-3	1
YY1	KRTAP12-3	1
ZDHHC1	KRTAP12-3	1
ZNF101	KRTAP12-3	1
ZNF124	KRTAP12-3	1
ZNF138	KRTAP12-3	1
ZNF20	KRTAP12-3	1
ZNF408	KRTAP12-3	1
ZNF417	KRTAP12-3	1
ZNF439	KRTAP12-3	1
ZNF440	KRTAP12-3	1
ZNF467	KRTAP12-3	1
ZNF490	KRTAP12-3	1
ZNF491	KRTAP12-3	1
ZNF497	KRTAP12-3	1
ZNF587	KRTAP12-3	1
ZNF648	KRTAP12-3	1
ZNF696	KRTAP12-3	1
ZNF80	KRTAP12-3	1
ZNF835	KRTAP12-3	1
ZNF837	KRTAP12-3	1
ZSCAN21	KRTAP12-3	1
ARID5A	KRTAP12-4	1
ATXN1	KRTAP12-4	1
ATXN2L	KRTAP12-4	1
CH25H	KRTAP12-4	1
CYSRT1	KRTAP12-4	1
FBXO34	KRTAP12-4	1
GPRIN2	KRTAP12-4	1
HMGB4	KRTAP12-4	1
HOXA1	KRTAP12-4	1
IQUB	KRTAP12-4	1
KRTAP11-1	KRTAP12-4	1
KRTAP19-2	KRTAP12-4	1
KRTAP19-5	KRTAP12-4	1
KRTAP19-6	KRTAP12-4	1
KRTAP2-3	KRTAP12-4	1
KRTAP3-3	KRTAP12-4	1
KRTAP6-2	KRTAP12-4	1
KRTAP8-1	KRTAP12-4	1
LASP1	KRTAP12-4	1
LCE1A	KRTAP12-4	1
LCE1C	KRTAP12-4	1
LCE1E	KRTAP12-4	1
LCE2A	KRTAP12-4	1
LCE2C	KRTAP12-4	1
LCE3A	KRTAP12-4	1
LCE4A	KRTAP12-4	1
LCE5A	KRTAP12-4	1
MEOX2	KRTAP12-4	1
MGAT5B	KRTAP12-4	1
NR4A3	KRTAP12-4	1
OLIG2	KRTAP12-4	1
OTX1	KRTAP12-4	1
PIH1D2	KRTAP12-4	1
POU4F2	KRTAP12-4	1
RBPMS	KRTAP12-4	1
RERE	KRTAP12-4	1
SMCP	KRTAP12-4	1
SSC4D	KRTAP12-4	1
TEKT5	KRTAP12-4	1
TEX37	KRTAP12-4	1
TRIP13	KRTAP12-4	1
VENTX	KRTAP12-4	1
ADAM12	KRTAP1-3	1
AGA	KRTAP1-3	1
ALDH3B1	KRTAP1-3	1
ALPP	KRTAP1-3	1
ATG9A	KRTAP1-3	1
BCAM	KRTAP1-3	1
BHLHE40	KRTAP1-3	1
BMP7	KRTAP1-3	1
BTC	KRTAP1-3	1
C19orf25	KRTAP1-3	1
C19orf66	KRTAP1-3	1
C2orf68	KRTAP1-3	1
CATSPER1	KRTAP1-3	1
CELF5	KRTAP1-3	1
CHIC2	KRTAP1-3	1
CHRD	KRTAP1-3	1
CHRNG	KRTAP1-3	1
CLDN2	KRTAP1-3	1
CMTM8	KRTAP1-3	1
CNNM3	KRTAP1-3	1
COA5	KRTAP1-3	1
COL8A1	KRTAP1-3	1
CRCT1	KRTAP1-3	1
CREB5	KRTAP1-3	1
CRH	KRTAP1-3	1
CRY2	KRTAP1-3	1
CTNNBIP1	KRTAP1-3	1
CXCL16	KRTAP1-3	1
CYHR1	KRTAP1-3	1
CYSRT1	KRTAP1-3	1
DHRS1	KRTAP1-3	1
DLGAP3	KRTAP1-3	1
DMRT3	KRTAP1-3	1
DOCK2	KRTAP1-3	1
ECE1	KRTAP1-3	1
FAM103A1	KRTAP1-3	1
FAM109A	KRTAP1-3	1
FBXW5	KRTAP1-3	1
GLP1R	KRTAP1-3	1
GNE	KRTAP1-3	1
GSTP1	KRTAP1-3	1
HCK	KRTAP1-3	1
HHEX	KRTAP1-3	1
HHIPL1	KRTAP1-3	1
HOXA1	KRTAP1-3	1
HOXB9	KRTAP1-3	1
HOXC8	KRTAP1-3	1
HPCAL1	KRTAP1-3	1
HSD3B7	KRTAP1-3	1
IGSF8	KRTAP1-3	1
IL10	KRTAP1-3	1
IL16	KRTAP1-3	1
INPP5D	KRTAP1-3	1
ITGB4	KRTAP1-3	1
ITGB5	KRTAP1-3	1
JOSD1	KRTAP1-3	1
KLHL38	KRTAP1-3	1
KPRP	KRTAP1-3	1
KRTAP10-1	KRTAP1-3	1
KRTAP10-8	KRTAP1-3	1
KRTAP10-9	KRTAP1-3	1
KRTAP12-1	KRTAP1-3	1
KRTAP4-11	KRTAP1-3	1
KRTAP4-12	KRTAP1-3	1
KRTAP4-4	KRTAP1-3	1
KRTAP4-5	KRTAP1-3	1
KRTAP5-11	KRTAP1-3	1
KRTAP5-3	KRTAP1-3	1
KRTAP5-6	KRTAP1-3	1
KRTAP9-3	KRTAP1-3	1
KRTAP9-8	KRTAP1-3	1
LCE1A	KRTAP1-3	1
LCE1B	KRTAP1-3	1
LCE1D	KRTAP1-3	1
LCE1E	KRTAP1-3	1
LCE2A	KRTAP1-3	1
LCE2B	KRTAP1-3	1
LCE2C	KRTAP1-3	1
LCE2D	KRTAP1-3	1
LCE3A	KRTAP1-3	1
LCE3B	KRTAP1-3	1
LCE3D	KRTAP1-3	1
LCE3E	KRTAP1-3	1
LCE4A	KRTAP1-3	1
LCE5A	KRTAP1-3	1
LONRF1	KRTAP1-3	1
LRFN4	KRTAP1-3	1
MAPKBP1	KRTAP1-3	1
MOS	KRTAP1-3	1
MTNR1A	KRTAP1-3	1
MXD3	KRTAP1-3	1
MXI1	KRTAP1-3	1
MYPOP	KRTAP1-3	1
NAXD	KRTAP1-3	1
NECTIN2	KRTAP1-3	1
NECTIN3	KRTAP1-3	1
NID2	KRTAP1-3	1
NMU	KRTAP1-3	1
NPBWR2	KRTAP1-3	1
NPDC1	KRTAP1-3	1
NR1D2	KRTAP1-3	1
NUFIP2	KRTAP1-3	1
OLFM2	KRTAP1-3	1
OTX1	KRTAP1-3	1
P3H3	KRTAP1-3	1
PDE9A	KRTAP1-3	1
PDIA5	KRTAP1-3	1
PHLDA1	KRTAP1-3	1
PIGS	KRTAP1-3	1
PLEKHN1	KRTAP1-3	1
PRKAA2	KRTAP1-3	1
PRKAB2	KRTAP1-3	1
PRPF31	KRTAP1-3	1
PSMA1	KRTAP1-3	1
PTK7	KRTAP1-3	1
PTPMT1	KRTAP1-3	1
PVR	KRTAP1-3	1
R3HDM2	KRTAP1-3	1
RANBP3	KRTAP1-3	1
RASD1	KRTAP1-3	1
RPN1	KRTAP1-3	1
RPS19BP1	KRTAP1-3	1
SAPCD2	KRTAP1-3	1
SDC3	KRTAP1-3	1
SDCBP	KRTAP1-3	1
SELENOM	KRTAP1-3	1
SLC13A5	KRTAP1-3	1
SLC22A23	KRTAP1-3	1
SLC23A1	KRTAP1-3	1
SLC39A7	KRTAP1-3	1
SLC43A2	KRTAP1-3	1
SLC7A11	KRTAP1-3	1
SMCP	KRTAP1-3	1
SPINT1	KRTAP1-3	1
SPRY1	KRTAP1-3	1
STK16	KRTAP1-3	1
SUSD6	KRTAP1-3	1
TACSTD2	KRTAP1-3	1
TCAF1	KRTAP1-3	1
TFAP2D	KRTAP1-3	1
TGFB1	KRTAP1-3	1
THAP7	KRTAP1-3	1
TNS2	KRTAP1-3	1
UNC119	KRTAP1-3	1
UTP23	KRTAP1-3	1
UXT	KRTAP1-3	1
VASN	KRTAP1-3	1
VSTM4	KRTAP1-3	1
WNT11	KRTAP1-3	1
XCL2	KRTAP1-3	1
YIPF3	KRTAP1-3	1
YY1	KRTAP1-3	1
ZDHHC1	KRTAP1-3	1
ZNF330	KRTAP1-3	1
ZNF414	KRTAP1-3	1
ZNF417	KRTAP1-3	1
ZNF440	KRTAP1-3	1
ZNF446	KRTAP1-3	1
ZNF497	KRTAP1-3	1
ZNF587	KRTAP1-3	1
ZNF696	KRTAP1-3	1
ZNF764	KRTAP1-3	1
ZNF786	KRTAP1-3	1
ZNF837	KRTAP1-3	1
ARMC7	KRTAP13-1	1
BAG4	KRTAP13-1	1
BANF2	KRTAP13-1	1
BCL6	KRTAP13-1	1
CHRD	KRTAP13-1	1
COL8A1	KRTAP13-1	1
CRACR2A	KRTAP13-1	1
GLRX3	KRTAP13-1	1
KLHL38	KRTAP13-1	1
KRT34	KRTAP13-1	1
KRTAP9-8	KRTAP13-1	1
LONRF1	KRTAP13-1	1
MAPKBP1	KRTAP13-1	1
MEIS2	KRTAP13-1	1
NEK6	KRTAP13-1	1
NMUR2	KRTAP13-1	1
NOXA1	KRTAP13-1	1
OTX1	KRTAP13-1	1
PITX1	KRTAP13-1	1
POU4F2	KRTAP13-1	1
PROP1	KRTAP13-1	1
PSPC1	KRTAP13-1	1
RANBP3	KRTAP13-1	1
SCAMP1	KRTAP13-1	1
STK16	KRTAP13-1	1
TBC1D10C	KRTAP13-1	1
TBX6	KRTAP13-1	1
TEKT4	KRTAP13-1	1
TNS2	KRTAP13-1	1
UBQLN2	KRTAP13-1	1
VENTX	KRTAP13-1	1
YTHDF1	KRTAP13-1	1
AES	KRTAP13-2	1
ANAPC11	KRTAP13-2	1
ANXA11	KRTAP13-2	1
BCL6	KRTAP13-2	1
C11orf1	KRTAP13-2	1
CBFA2T2	KRTAP13-2	1
CCDC24	KRTAP13-2	1
CCDC57	KRTAP13-2	1
CCNK	KRTAP13-2	1
CRYBA1	KRTAP13-2	1
ENKD1	KRTAP13-2	1
EPDR1	KRTAP13-2	1
ETFDH	KRTAP13-2	1
FANCL	KRTAP13-2	1
FCHO1	KRTAP13-2	1
GATA3	KRTAP13-2	1
GEMIN4	KRTAP13-2	1
GNE	KRTAP13-2	1
GPS2	KRTAP13-2	1
GRN	KRTAP13-2	1
HNRNPH1	KRTAP13-2	1
HOXA1	KRTAP13-2	1
HR	KRTAP13-2	1
KCTD9	KRTAP13-2	1
KLHL38	KRTAP13-2	1
KRTAP11-1	KRTAP13-2	1
KRTAP4-4	KRTAP13-2	1
MAGOHB	KRTAP13-2	1
MEOX2	KRTAP13-2	1
MGAT5B	KRTAP13-2	1
NEK8	KRTAP13-2	1
OIP5	KRTAP13-2	1
OTX1	KRTAP13-2	1
PATZ1	KRTAP13-2	1
PITX1	KRTAP13-2	1
POU2AF1	KRTAP13-2	1
PPP1R32	KRTAP13-2	1
RECK	KRTAP13-2	1
RHOXF2	KRTAP13-2	1
SMUG1	KRTAP13-2	1
SNRPC	KRTAP13-2	1
SPEF1	KRTAP13-2	1
SSC4D	KRTAP13-2	1
STK16	KRTAP13-2	1
TEX37	KRTAP13-2	1
TNS2	KRTAP13-2	1
TRAPPC6A	KRTAP13-2	1
TRIM68	KRTAP13-2	1
TSPYL6	KRTAP13-2	1
TSSK3	KRTAP13-2	1
UNC5CL	KRTAP13-2	1
YPEL3	KRTAP13-2	1
ZIC1	KRTAP13-2	1
AES	KRTAP13-3	1
ATG9A	KRTAP13-3	1
ATXN1	KRTAP13-3	1
C14orf119	KRTAP13-3	1
C1orf109	KRTAP13-3	1
CCDC102B	KRTAP13-3	1
CCDC120	KRTAP13-3	1
CCDC57	KRTAP13-3	1
CLIC3	KRTAP13-3	1
COL8A1	KRTAP13-3	1
CRYBA1	KRTAP13-3	1
CRYBA2	KRTAP13-3	1
CYSRT1	KRTAP13-3	1
DTX2	KRTAP13-3	1
EFEMP2	KRTAP13-3	1
FAH	KRTAP13-3	1
FOXH1	KRTAP13-3	1
GATA2	KRTAP13-3	1
GNE	KRTAP13-3	1
GPANK1	KRTAP13-3	1
GPSM3	KRTAP13-3	1
GUCD1	KRTAP13-3	1
HEXIM2	KRTAP13-3	1
HOXA1	KRTAP13-3	1
HOXC8	KRTAP13-3	1
HSD3B7	KRTAP13-3	1
KCTD9	KRTAP13-3	1
KPRP	KRTAP13-3	1
