Protein	Protein	Input
MAVS	ABL1	1
PAG1	ABL1	1
ABI2	ABL2	1
MED28	ABL2	1
PIK3R3	ABL2	1
PLCG1	ABL2	1
TRIP10	ABL2	1
HOOK2	ABLIM1	1
VIM	ABLIM1	1
ATP6V0A1	ABLIM2	1
MLIP	ABLIM2	1
ABI2	ABLIM3	1
BANP	ABLIM3	1
CBX8	ABLIM3	1
CCDC33	ABLIM3	1
CWF19L2	ABLIM3	1
HIKESHI	ABLIM3	1
IKZF3	ABLIM3	1
PALMD	ABLIM3	1
SNW1	ABLIM3	1
SSX2IP	ABLIM3	1
TFIP11	ABLIM3	1
GRAMD2B	ABO	1
TMEM79	ABO	1
ABLIM2	ABRA	1
PPP1R18	ABRA	1
BRCA1	ABRAXAS1	1
DCUN1D1	ABRAXAS2	1
CCDC136	ABT1	1
CEP70	ABT1	1
EMD	ABT1	1
LZTS2	ABT1	1
PICK1	ABT1	1
CUL3	ABTB1	1
EEF1A2	ABTB1	1
EEF1D	ABTB1	1
DNTT	ABTB2	1
BYSL	AC005324.4	1
CARD10	AC005324.4	1
HOXB5	AC005324.4	1
KRT40	AC005324.4	1
KRTAP10-1	AC005324.4	1
KRTAP10-5	AC005324.4	1
KRTAP10-9	AC005324.4	1
PICK1	AC005324.4	1
RNPS1	AC005324.4	1
SRRM4	AC005324.4	1
TRIM41	AC005324.4	1
TSPYL2	AC005324.4	1
ZNF587	AC005324.4	1
ZNF792	AC005324.4	1
DYDC1	AC007192.1	1
GOLGA2	AC007192.1	1
IKZF3	AC007192.1	1
KRT15	AC007192.1	1
KRT20	AC007192.1	1
KRT38	AC007192.1	1
MRFAP1L1	AC007192.1	1
RINT1	AC007192.1	1
TRIM23	AC007192.1	1
PSMA1	AC010132.3	1
LMO1	AC010323.1	1
MDFI	AC010323.1	1
TTPA	AC010323.1	1
AIG1	AC012254.2	1
C19orf18	AC012254.2	1
CDIPT	AC012254.2	1
CERS2	AC012254.2	1
CERS4	AC012254.2	1
CST1	AC012254.2	1
DPM3	AC012254.2	1
EBP	AC012254.2	1
ELOVL4	AC012254.2	1
ERMP1	AC012254.2	1
FAM210B	AC012254.2	1
FCER1G	AC012254.2	1
GJB1	AC012254.2	1
GOSR2	AC012254.2	1
GPR42	AC012254.2	1
HERPUD2	AC012254.2	1
JAGN1	AC012254.2	1
KCNA1	AC012254.2	1
MOSPD3	AC012254.2	1
PEX12	AC012254.2	1
PIGP	AC012254.2	1
PLP1	AC012254.2	1
POMK	AC012254.2	1
SCN3B	AC012254.2	1
SLC30A4	AC012254.2	1
TM4SF18	AC012254.2	1
TMEM128	AC012254.2	1
TMEM14A	AC012254.2	1
TMEM14B	AC012254.2	1
TMEM167A	AC012254.2	1
TMEM237	AC012254.2	1
TMEM258	AC012254.2	1
TMEM80	AC012254.2	1
TMEM86B	AC012254.2	1
TMPPE	AC012254.2	1
TMX2	AC012254.2	1
TRHR	AC012254.2	1
UBQLN1	AC012254.2	1
YIPF4	AC012254.2	1
ZFYVE27	AC012254.2	1
NAPB	AC018755.2	1
SLC7A8	AC018755.2	1
TRIP13	AC018755.2	1
VAC14	AC018755.2	1
DDX39A	AC023055.1	1
DDX39B	AC023055.1	1
HSPA6	AC073508.2	1
EIF3F	AC084337.2	1
HGS	AC084337.2	1
KLHL38	AC084337.2	1
MBD3	AC084337.2	1
MEIS2	AC084337.2	1
PCNA	AC087632.1	1
TERF1	AC087632.1	1
ATP6V0D2	AC104452.1	1
FAM46B	AC104452.1	1
NFKBID	AC104452.1	1
P4HA3	AC104452.1	1
POGZ	AC104452.1	1
RUSC1	AC104452.1	1
TLX3	AC104452.1	1
TRAPPC2	AC104452.1	1
TRAPPC2B	AC104452.1	1
TTC9C	AC104452.1	1
ZNF77	AC104452.1	1
ANKRD11	AC106886.5	1
BHLHB9	AC106886.5	1
CCNC	AC106886.5	1
CEP70	AC106886.5	1
MED20	AC106886.5	1
MIPOL1	AC106886.5	1
PTPN3	AC106886.5	1
SERTAD3	AC106886.5	1
TRIM54	AC106886.5	1
USHBP1	AC106886.5	1
HMBOX1	AC126755.2	1
TRAF4	AC126755.2	1
UBA5	AC126755.2	1
LLPH	AC138696.1	1
MFAP1	AC138696.1	1
NCL	AC138696.1	1
SINHCAF	AC138696.1	1
UBL5	AC138696.1	1
ZFP91	AC138696.1	1
ZNF485	AC138696.1	1
HMBOX1	AC138969.1	1
TRAF4	AC138969.1	1
UBA5	AC138969.1	1
APOC1	ACACA	1
BRCA1	ACACA	1
FGF14	ACACA	1
FN1	ACACA	1
RHBDD2	ACACA	1
CD2BP2	ACAD11	1
TGM1	ACADL	1
CDH1	ACADVL	1
IFFO1	ACAP1	1
HSPB1	ACAP2	1
ACAT2	ACAT2	1
LNX1	ACAT2	1
ZNF76	ACAT2	1
GOLGB1	ACBD3	1
PI4KB	ACBD3	1
CRX	ACBD4	1
KIF9	ACBD4	1
MEOX1	ACBD4	1
MEOX2	ACBD4	1
REL	ACBD4	1
TEKT4	ACBD4	1
SLC38A7	ACBD5	1
STX1B	ACBD5	1
HSPB1	ACBD6	1
NMT1	ACBD6	1
NMT2	ACBD6	1
MESD	ACBD7	1
TEPSIN	ACBD7	1
ACCS	ACCS	1
TINF2	ACD	1
AGT	ACE	1
MPP1	ACER1	1
MPP1	ACER2	1
ENO1	ACHE	1
GJA8	ACKR2	1
FN1	ACLY	1
USHBP1	ACMSD	1
SGCG	ACO1	1
C2CD6	ACOT11	1
CABP5	ACOT11	1
EXOSC5	ACOT11	1
GEMIN6	ACOT11	1
HDAC7	ACOT11	1
MAGEB4	ACOT11	1
SUOX	ACOT11	1
ACOT12	ACOT12	1
ACOT7	ACOT12	1
MEOX1	ACOT12	1
MEOX2	ACOT12	1
NAA10	ACOT12	1
NAA11	ACOT12	1
PAX6	ACOT12	1
REL	ACOT12	1
